round,loss,val_accuracy
1,1.8198447117010752,0.35533333333333333
2,1.3299376678268116,0.5424166666666667
3,1.0970585352579754,0.6725833333333333
4,0.9164265880286694,0.6653333333333333
5,1.2068997555077077,0.6115
6,1.1921777344197035,0.5819166666666667
7,1.376983242039879,0.63975
8,1.005654648769647,0.6263333333333333
9,0.8863754778429865,0.71625
10,0.6657432814898591,0.7270833333333333
1,1.8401524884700775,0.33949999999999997
2,1.329987303217252,0.5900833333333334
3,1.2986050003170968,0.6405
4,0.8559950327674548,0.6943333333333334
5,1.3128075752953687,0.62525
6,0.9418206170449654,0.6440833333333333
7,1.3054403616835675,0.6154166666666666
8,1.0481540506705642,0.6150833333333334
9,1.0079902973150214,0.6830833333333334
10,0.806332349323978,0.6788333333333333
1,1.795299499909083,0.4189166666666667
2,1.3287590464750925,0.5518333333333333
3,1.1267403252820174,0.663
4,0.9729558281302452,0.6374166666666667
5,0.9899264884268244,0.6850833333333334
6,0.8705849939982097,0.6651666666666667
7,0.8532057856693864,0.7146666666666668
8,0.7693133634552359,0.69875
9,0.7648988482852777,0.7505000000000001
10,0.6681038590644797,0.7305833333333334
